gate_id	runnability	required	graduated	proof_state	fixture	reason
.github/workflows/ci.yml#security-audit	LOCAL+TOOL	Y	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/ci.yml#test	LOCAL+TOOL	Y	n	NOT_LOCALLY_EXECUTABLE	-	required tool(s) unavailable on this host: playwright-browsers
.github/workflows/ci.yml#typecheck	LOCAL	Y	n	PROVEN	typecheck-ts2322	
.github/workflows/cron-bet-grade.yml#fire	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/cron-mlb-canonical-refresh.yml#refresh	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/cron-mlb-cycle.yml#fire	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/cron-scores.yml#fire	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/cron-stripe-reconcile.yml#fire	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/cron-vsin-odds.yml#fire	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/db-push.yml#db-push	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/db-reconcile-migrations.yml#reconcile	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/deploy-smoke.yml#smoke	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/dime-llm-validation.yml#validate	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/edge-arming-gate.yml#enforce	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/edge-arming-gate.yml#validate	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/gitleaks.yml#gitleaks	LOCAL+TOOL	Y	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/os-ledger-append.yml#append	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/os-observe-crons.yml#observe	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/p0-db-verify.yml#query	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/p0-feed-verify.yml#verify	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/perf-harness.yml#measure	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/pi-review.yml#pi-review	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/railway-p0-control.yml#health	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/refresh-cf-cidrs.yml#check	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/seed-cfb.yml#seed-cfb	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/seed-nfl.yml#seed-nfl	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/stripe-e2e.yml#stripe-e2e	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
